number_of_capital_letters,number_of_special_characters,number_of_whitespaces,average_lenght_of_words,number_of_keywords,real_class
0,79,0,80,0,o
5,4,9,5,0,o
2,1,10,5,0,o
3,1,13,4,0,o
0,2,9,5,0,o
0,1,2,21,0,o
0,1,1,1,0,o
1,1,2,7,0,o
7,1,12,5,0,o
0,79,1,80,0,o
0,0,0,0,0,o
0,0,2,11,0,j
0,0,0,0,0,o
2,0,2,17,0,j
4,0,2,18,0,j
3,0,2,16,0,j
0,0,0,0,0,o
0,2,0,3,0,o
0,3,2,2,0,o
1,1,9,6,0,o
3,5,9,7,0,o
0,1,3,5,0,o
0,3,2,2,0,o
0,3,2,2,0,o
1,1,9,5,0,o
0,3,2,2,0,o
0,1,2,1,0,o
0,1,3,3,0,o
0,1,1,2,0,o
6,1,9,7,0,j
0,0,0,0,0,o
7,3,6,10,0,j
2,2,1,14,1,j
0,1,1,1,0,j
0,0,0,0,0,o
0,2,0,3,0,o
2,1,12,5,0,o
0,1,12,4,0,o
0,1,2,1,0,o
0,1,3,4,0,o
0,1,16,4,0,o
0,1,2,1,0,o
8,4,3,29,0,o
0,1,1,2,0,o
5,3,7,8,0,j
2,5,5,5,1,j
0,5,10,2,0,j
5,8,2,19,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
2,1,12,5,0,o
1,1,13,4,0,o
0,1,12,4,0,o
0,2,4,5,0,o
5,7,5,12,0,o
0,1,2,1,0,o
1,1,3,6,0,o
0,1,20,3,0,o
1,1,3,5,0,o
0,6,22,4,0,o
1,1,3,5,0,o
0,6,22,4,0,o
0,1,2,1,0,o
8,4,3,29,0,o
0,1,1,2,0,o
4,2,6,8,1,j
4,3,7,5,1,j
2,5,3,6,0,j
6,4,3,15,0,j
2,3,2,7,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
3,1,3,10,0,j
4,2,4,7,0,j
2,2,1,16,1,j
0,1,0,1,0,o
0,0,0,0,0,o
0,1,0,1,0,o
0,79,0,80,0,o
5,4,9,5,0,o
2,1,10,5,0,o
3,1,13,4,0,o
0,2,9,5,0,o
0,1,2,21,0,o
0,1,1,1,0,o
1,1,2,7,0,o
7,1,12,5,0,o
0,79,1,80,0,o
0,0,2,12,0,j
0,0,0,0,0,o
1,0,2,9,0,j
3,0,2,17,1,j
0,0,0,0,0,o
0,2,0,3,0,o
3,1,11,5,0,o
4,5,7,7,0,o
2,1,12,5,0,o
0,1,14,4,0,o
0,1,14,4,0,o
4,5,10,6,0,o
0,3,2,2,0,o
3,2,10,5,0,o
5,11,4,17,0,o
2,5,3,10,0,o
0,3,2,2,0,o
0,1,1,1,0,o
4,1,3,8,0,o
2,1,3,15,0,o
3,1,3,17,0,o
2,1,3,14,0,o
0,1,1,2,0,o
4,1,6,7,0,j
0,2,4,3,0,o
0,3,6,2,0,o
5,5,12,7,0,o
4,6,15,6,0,o
0,2,12,4,0,o
0,3,6,2,0,o
0,3,6,2,0,o
1,10,14,6,0,o
1,10,15,5,0,o
0,1,17,4,0,o
1,1,16,5,0,o
0,6,13,6,0,o
0,1,13,5,0,o
0,3,6,2,0,o
0,1,5,1,0,o
0,6,18,5,0,o
0,5,14,4,0,o
0,6,13,6,0,o
0,5,12,7,0,o
0,1,11,4,0,o
0,1,5,1,0,o
3,1,15,7,1,o
0,1,10,4,0,o
2,1,15,6,1,o
1,1,18,5,0,o
0,5,10,6,0,o
0,1,5,2,0,o
0,3,10,6,0,j
7,2,16,12,1,j
2,0,13,11,1,j
0,1,0,1,0,o
0,1,0,2,0,o
6,1,7,5,0,o
5,3,11,5,0,o
0,1,2,13,0,o
0,1,1,1,0,o
2,2,11,5,0,o
0,1,6,5,0,o
0,1,1,1,0,o
3,1,7,4,0,o
0,1,1,1,0,o
2,1,11,5,0,o
7,1,15,4,0,o
4,3,12,4,0,o
0,3,7,4,0,o
0,1,1,1,0,o
2,2,12,4,0,o
18,1,11,4,0,o
44,1,10,5,0,o
7,1,9,5,0,o
0,1,1,1,0,o
8,1,14,4,0,o
3,4,8,8,0,o
0,1,1,2,0,o
0,0,0,0,0,o
0,1,0,2,0,o
1,1,2,7,0,o
2,1,6,9,0,o
0,1,1,2,0,o
0,0,2,13,0,j
0,0,0,0,0,o
1,0,2,7,0,j
0,0,0,0,0,o
3,0,2,15,1,j
3,0,2,16,0,j
3,0,2,15,0,j
3,0,2,19,0,j
3,0,2,18,0,j
5,0,2,22,0,j
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
2,3,5,10,0,o
5,3,9,6,0,o
0,1,1,2,0,o
8,0,5,9,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
4,0,3,7,0,j
6,3,4,8,1,j
6,3,4,7,1,j
6,3,4,8,1,j
4,2,3,9,0,j
4,2,3,7,0,j
5,2,3,10,0,j
0,0,0,0,0,o
5,0,3,8,0,j
5,0,3,8,0,j
0,0,0,0,0,o
0,2,0,3,0,o
1,1,4,5,0,o
0,1,1,2,0,o
3,0,4,9,0,j
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
1,1,8,5,0,o
0,1,2,1,0,o
0,1,6,6,0,o
0,1,1,2,0,o
6,2,3,14,0,j
0,1,0,1,0,o
0,1,3,6,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
1,1,8,5,0,o
0,1,2,1,0,o
0,1,6,6,0,o
0,1,1,2,0,o
6,2,3,11,0,j
0,1,0,1,0,o
3,4,2,15,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
1,1,4,6,0,o
0,1,2,1,0,o
0,1,10,4,0,o
3,1,3,6,1,o
0,1,1,2,0,o
7,2,6,8,1,j
0,1,0,1,0,o
0,1,3,5,0,j
1,1,3,7,0,j
1,1,3,6,0,j
1,1,3,7,0,j
0,1,3,7,0,j
0,1,3,5,0,j
1,1,3,8,0,j
0,0,0,0,0,o
14,3,3,11,0,j
16,3,3,12,0,j
0,0,0,0,0,o
13,3,4,18,0,j
3,5,3,14,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
6,2,3,9,0,j
0,1,0,1,0,o
1,0,2,6,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
6,2,3,9,0,j
0,1,0,1,0,o
1,0,2,6,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
4,2,5,8,1,j
0,1,0,1,0,o
0,6,8,4,0,j
0,1,0,1,0,o
0,4,8,3,0,j
0,1,0,1,0,o
4,3,4,7,0,j
3,5,4,11,1,j
10,9,6,18,1,j
2,2,1,14,0,j
1,2,1,16,0,j
0,0,0,0,0,o
10,6,4,12,0,j
0,1,0,1,0,o
3,4,1,25,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,6,8,4,0,j
0,1,0,1,0,o
0,4,8,3,0,j
0,1,0,1,0,o
6,3,4,9,0,j
1,2,1,15,0,j
0,0,0,0,0,o
11,6,4,13,0,j
0,1,0,1,0,o
1,2,1,14,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
4,2,5,7,1,j
0,1,0,1,0,o
0,6,8,4,0,j
0,1,0,1,0,o
0,4,8,3,0,j
0,1,0,1,0,o
4,3,4,7,0,j
4,5,4,13,1,j
10,9,7,18,1,j
3,2,1,19,0,j
1,2,0,33,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
1,1,10,5,0,o
0,3,2,2,0,o
2,8,12,6,0,o
0,3,2,2,0,o
0,1,2,1,0,o
3,1,3,6,1,o
0,1,1,2,0,o
5,2,5,8,1,j
0,1,0,1,0,o
0,6,8,3,0,j
0,1,0,1,0,o
0,0,18,4,0,o
0,1,14,5,0,o
0,0,8,4,0,o
0,5,10,3,0,j
0,1,0,1,0,o
4,3,4,5,0,j
0,0,0,0,0,o
4,5,4,10,1,j
4,5,4,12,1,j
0,0,0,0,0,o
0,1,3,1,0,j
2,7,8,4,0,j
3,7,5,8,0,j
0,1,2,1,0,j
0,1,0,1,0,o
2,2,1,13,0,j
0,1,0,1,0,o
0,0,1,2,0,j
0,1,0,1,0,o
2,2,1,14,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,1,13,6,0,o
0,0,7,4,0,o
0,6,8,4,0,j
0,1,0,1,0,o
0,4,8,3,0,j
0,1,0,1,0,o
4,3,4,7,0,j
11,6,4,12,0,j
0,1,0,1,0,o
10,5,4,12,0,j
1,4,2,7,0,j
0,1,0,1,0,o
3,4,1,25,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,14,5,0,o
0,1,6,6,0,o
1,2,1,10,0,j
0,0,0,0,0,o
2,1,4,6,0,j
0,4,8,3,0,j
0,1,0,1,0,o
4,3,4,5,0,j
0,0,0,0,0,o
3,1,4,6,0,j
0,0,0,0,0,o
2,2,2,7,0,j
0,1,0,1,0,o
4,5,4,10,1,j
4,5,4,12,1,j
0,0,0,0,0,o
0,1,3,1,0,j
2,7,8,4,0,j
3,7,5,8,0,j
0,1,1,1,0,j
0,1,0,1,0,o
2,1,3,5,0,j
3,1,3,5,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
4,2,1,19,0,j
6,2,1,21,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
12,3,8,11,1,j
0,1,0,1,0,o
0,6,8,4,0,j
0,1,0,1,0,o
0,4,8,3,0,j
0,1,0,1,0,o
2,5,2,15,0,j
2,5,2,14,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,6,8,4,0,j
0,1,0,1,0,o
0,4,8,3,0,j
0,1,0,1,0,o
2,5,2,15,0,j
2,5,2,14,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
9,3,6,12,0,j
0,1,0,1,0,o
10,5,4,12,0,j
0,1,0,1,0,o
1,1,4,5,0,j
1,2,2,7,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,1,1,1,0,o
1,1,3,4,0,j
0,1,1,1,0,j
10,4,5,11,0,j
12,4,3,14,0,j
0,1,1,1,0,j
0,0,1,3,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
13,7,5,12,0,j
0,0,1,3,0,j
0,1,0,1,0,o
5,0,3,2,0,j
0,1,0,1,0,o
11,6,4,12,0,j
0,1,0,1,0,o
10,5,4,12,0,j
2,3,3,8,0,j
0,1,0,1,0,o
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,0,2,3,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
1,2,2,5,0,j
0,1,0,1,0,o
3,4,1,25,0,j
1,1,0,10,0,o
3,4,0,24,0,o
0,1,0,2,0,o
1,2,0,16,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,1,2,0,j
0,1,0,1,0,o
3,4,1,25,0,j
1,1,0,10,0,o
1,4,0,18,0,o
0,1,0,2,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
11,3,6,13,0,j
0,1,0,1,0,o
11,5,4,13,0,j
0,1,0,1,0,o
1,1,4,5,0,j
1,2,2,7,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,1,1,1,0,j
11,4,5,13,0,j
13,4,3,16,0,j
0,1,1,1,0,j
0,0,1,3,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
14,7,5,13,0,j
0,0,1,3,0,j
0,1,0,1,0,o
5,0,3,2,0,j
0,1,0,1,0,o
12,6,4,13,0,j
0,1,0,1,0,o
11,5,4,13,0,j
2,3,3,8,0,j
0,1,0,1,0,o
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,0,2,3,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
1,2,2,5,0,j
0,1,0,1,0,o
1,2,1,14,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
12,3,8,10,1,j
0,1,0,1,0,o
23,5,3,16,0,o
10,5,4,10,0,j
0,1,0,1,0,o
1,1,4,5,0,j
1,2,2,6,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,1,1,1,0,j
10,4,5,10,0,j
12,4,3,12,0,j
0,1,1,1,0,j
0,0,1,3,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
13,7,5,11,0,j
0,0,1,3,0,j
0,1,0,1,0,o
5,0,3,2,0,j
0,1,0,1,0,o
11,6,4,10,0,j
0,1,0,1,0,o
10,5,4,11,0,j
2,3,3,8,0,j
0,1,0,1,0,o
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,0,2,3,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
1,2,2,5,0,j
0,1,0,1,0,o
1,1,1,9,0,j
3,4,1,23,0,j
0,1,1,1,0,j
1,2,1,15,0,j
2,2,1,18,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,1,2,0,j
0,1,0,1,0,o
1,1,1,9,0,j
1,4,1,17,0,j
0,1,1,1,0,j
3,4,1,25,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
11,3,6,12,0,j
0,1,0,1,0,o
1,1,4,5,0,j
1,2,2,6,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,1,1,1,0,j
11,4,5,11,0,j
13,4,3,14,0,j
0,1,1,1,0,j
0,0,1,3,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
14,7,5,12,0,j
0,0,1,3,0,j
0,1,0,1,0,o
5,0,3,2,0,j
0,1,0,1,0,o
12,6,4,12,0,j
0,1,0,1,0,o
11,5,4,12,0,j
2,3,3,8,0,j
0,1,0,1,0,o
11,6,5,10,0,j
0,1,0,1,0,o
1,0,10,4,0,o
1,1,3,4,0,j
0,1,0,1,0,o
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,0,2,3,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
1,2,2,5,0,j
0,1,0,1,0,o
1,2,1,14,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
